Stock_ID,Pattern,Signals,Win_Rate(%),Avg_Return(%),Max_Drawdown(%),Expected_Value(%)
8033.TW,P02_量增紅K,50,74.0,26.35,-11.44,17.68
2609.TW,P02_量增紅K,13,53.85,38.53,-12.49,17.52
4588.TW,P09_量縮後爆量紅K,8,75.0,25.68,-6.67,17.51
4763.TW,P11_多頭排列紅K,52,78.85,24.01,-12.71,17.45
3025.TW,P09_量縮後爆量紅K,4,75.0,25.58,-12.68,17.44
6669.TW,P08_黃金交叉量增,6,100.0,17.43,-9.71,17.43
3017.TW,P11_多頭排列紅K,62,87.1,21.04,-10.16,17.42
3016.TW,P09_量縮後爆量紅K,11,81.82,22.84,-10.15,17.41
2606.TW,P09_量縮後爆量紅K,4,100.0,17.4,-5.35,17.4
3545.TW,P09_量縮後爆量紅K,6,66.67,29.61,-10.27,17.4
3231.TW,P09_量縮後爆量紅K,3,66.67,29.49,-7.24,17.33
1471.TW,P12_多頭回檔,39,61.54,32.32,-10.54,17.2
1519.TW,P05_連跌反轉紅K,21,80.95,22.88,-7.84,17.19
7750.TW,P10_組合訊號,1,100.0,17.17,-16.21,17.17
1795.TW,P08_黃金交叉量增,4,100.0,17.15,-12.07,17.15
2465.TW,P02_量增紅K,54,77.78,24.03,-14.1,17.14
6885.TW,P02_量增紅K,3,66.67,29.13,-10.18,17.09
6531.TW,P01_量縮價穩,62,79.03,23.41,-12.47,17.04
3653.TW,P03_均線支撐放量,29,82.76,21.96,-13.38,16.97
3017.TW,P07_RSI超賣量縮,20,70.0,27.21,-12.5,16.95
1618.TW,P08_黃金交叉量增,11,81.82,22.14,-6.19,16.84
4961.TW,P11_多頭排列紅K,29,51.72,38.99,-16.03,16.79
2345.TW,P07_RSI超賣量縮,12,91.67,18.8,-10.53,16.65
2038.TW,P09_量縮後爆量紅K,7,57.14,34.36,-11.19,16.64
8374.TW,P12_多頭回檔,54,68.52,27.38,-6.36,16.56
2364.TW,P08_黃金交叉量增,10,70.0,26.64,-13.8,16.55
6955.TW,P02_量增紅K,27,81.48,21.82,-6.33,16.48
4967.TW,P10_組合訊號,32,78.12,23.05,-10.15,16.47
2540.TW,P04_長下影線放量,64,82.81,21.32,-7.57,16.45
2413.TW,P12_多頭回檔,25,96.0,17.32,-7.78,16.35
4569.TW,P01_量縮價穩,51,66.67,28.0,-7.96,16.33
2351.TW,P08_黃金交叉量增,3,100.0,16.32,-4.77,16.32
3715.TW,P12_多頭回檔,9,55.56,34.94,-17.85,16.3
2368.TW,P09_量縮後爆量紅K,8,87.5,19.62,-10.25,16.29
6806.TW,P10_組合訊號,15,86.67,19.79,-12.58,16.22
6235.TW,P11_多頭排列紅K,54,74.07,24.33,-12.12,16.21
6706.TW,P12_多頭回檔,28,92.86,17.97,-13.28,16.18
6442.TW,P11_多頭排列紅K,55,80.0,21.98,-7.34,16.18
6955.TW,P11_多頭排列紅K,34,82.35,21.13,-4.78,16.17
7610.TW,P06_價量背離,1,100.0,16.15,-7.5,16.15
8996.TW,P07_RSI超賣量縮,52,94.23,17.5,-11.46,16.09
4569.TW,P10_組合訊號,15,60.0,31.48,-9.24,16.09
2327.TW,P01_量縮價穩,45,75.56,23.49,-8.14,16.04
3535.TW,P11_多頭排列紅K,33,72.73,24.63,-14.05,16.0
4967.TW,P04_長下影線放量,41,73.17,24.42,-16.25,15.99
2009.TW,P05_連跌反轉紅K,34,67.65,26.99,-8.65,15.99
6515.TW,P03_均線支撐放量,16,87.5,19.22,-13.1,15.95
6526.TW,P09_量縮後爆量紅K,1,100.0,15.94,-2.97,15.94
3189.TW,P02_量增紅K,16,87.5,19.22,-8.93,15.94
2454.TW,P06_價量背離,19,89.47,18.6,-7.85,15.9
1760.TW,P08_黃金交叉量增,5,80.0,21.59,-24.46,15.87
6443.TW,P11_多頭排列紅K,33,69.7,25.48,-18.78,15.64
3653.TW,P05_連跌反轉紅K,25,84.0,19.93,-13.48,15.62
8033.TW,P03_均線支撐放量,50,72.0,24.4,-11.73,15.61
2460.TW,P09_量縮後爆量紅K,12,83.33,20.1,-13.26,15.58
3017.TW,P03_均線支撐放量,27,77.78,22.03,-12.84,15.58
2453.TW,P12_多頭回檔,23,78.26,21.82,-8.18,15.56
8110.TW,P11_多頭排列紅K,49,59.18,31.13,-12.97,15.56
6515.TW,P11_多頭排列紅K,47,85.11,19.49,-14.74,15.55
1435.TW,P11_多頭排列紅K,63,73.02,23.84,-8.81,15.52
3661.TW,P10_組合訊號,13,100.0,15.5,-13.6,15.5
6191.TW,P08_黃金交叉量增,7,85.71,19.24,-8.64,15.5
6472.TW,P12_多頭回檔,30,80.0,21.03,-8.11,15.43
3596.TW,P09_量縮後爆量紅K,3,100.0,15.41,-5.92,15.41
3019.TW,P02_量增紅K,16,87.5,18.59,-9.2,15.39
9105.TW,P05_連跌反轉紅K,14,78.57,21.48,-6.4,15.38
8478.TW,P09_量縮後爆量紅K,9,77.78,21.59,-9.64,15.24
2204.TW,P02_量增紅K,12,91.67,17.24,-6.08,15.22
2545.TW,P08_黃金交叉量增,4,100.0,15.21,-2.69,15.21
8150.TW,P09_量縮後爆量紅K,5,100.0,15.13,-3.73,15.13
2383.TW,P11_多頭排列紅K,55,81.82,20.0,-9.25,15.09
1467.TW,P05_連跌反轉紅K,20,40.0,48.02,-9.62,15.01
6796.TW,P04_長下影線放量,26,76.92,21.48,-13.47,14.91
1736.TW,P12_多頭回檔,35,77.14,21.39,-9.35,14.9
7711.TW,P04_長下影線放量,8,100.0,14.87,-16.27,14.87
2363.TW,P04_長下影線放量,20,80.0,20.33,-10.43,14.86
6691.TW,P04_長下影線放量,65,86.15,18.35,-5.24,14.84
912000.TW,P11_多頭排列紅K,30,63.33,27.47,-10.66,14.83
7799.TW,P01_量縮價穩,12,66.67,25.57,-29.18,14.71
2383.TW,P02_量增紅K,13,76.92,21.12,-10.61,14.63
5284.TW,P08_黃金交叉量增,15,86.67,17.89,-4.62,14.57
6955.TW,P03_均線支撐放量,36,83.33,18.83,-4.6,14.53
4949.TW,P05_連跌反轉紅K,6,66.67,25.21,-11.39,14.47
8033.TW,P05_連跌反轉紅K,37,75.68,21.36,-9.7,14.46
2382.TW,P11_多頭排列紅K,67,71.64,22.94,-6.93,14.45
2313.TW,P06_價量背離,36,86.11,17.87,-7.56,14.41
1612.TW,P08_黃金交叉量增,9,88.89,17.05,-4.07,14.38
3138.TW,P10_組合訊號,29,68.97,23.99,-15.01,14.38
2501.TW,P09_量縮後爆量紅K,5,60.0,28.61,-4.62,14.36
2017.TW,P09_量縮後爆量紅K,10,90.0,16.67,-12.07,14.31
1519.TW,P11_多頭排列紅K,42,76.19,20.96,-11.66,14.3
4961.TW,P04_長下影線放量,32,65.62,25.45,-14.36,14.29
2399.TW,P08_黃金交叉量增,7,71.43,22.76,-10.75,14.26
6781.TW,P07_RSI超賣量縮,27,92.59,15.91,-9.01,14.22
2465.TW,P11_多頭排列紅K,51,74.51,21.47,-16.78,14.22
2637.TW,P09_量縮後爆量紅K,6,100.0,14.15,-10.57,14.15
3032.TW,P02_量增紅K,11,90.91,16.25,-7.87,14.14
1736.TW,P10_組合訊號,36,80.56,19.24,-8.11,14.14
6873.TW,P12_多頭回檔,26,69.23,23.54,-6.5,14.14
6691.TW,P08_黃金交叉量增,11,90.91,16.24,-5.66,14.13
912000.TW,P04_長下影線放量,50,64.0,26.01,-9.81,14.13
6949.TW,P05_連跌反轉紅K,20,55.0,31.41,-16.64,14.13
7780.TW,P11_多頭排列紅K,13,61.54,27.31,-15.14,14.12
6533.TW,P12_多頭回檔,16,75.0,21.12,-17.87,14.09
4532.TW,P09_量縮後爆量紅K,2,100.0,14.08,-5.01,14.08
6442.TW,P09_量縮後爆量紅K,17,76.47,20.54,-4.4,14.06
3653.TW,P11_多頭排列紅K,56,85.71,17.54,-11.02,14.03
2363.TW,P05_連跌反轉紅K,27,77.78,20.02,-10.18,14.02
6862.TW,P12_多頭回檔,4,100.0,13.94,-7.17,13.94
5269.TW,P10_組合訊號,13,69.23,23.22,-14.98,13.92
2376.TW,P04_長下影線放量,28,85.71,17.39,-11.28,13.9
3661.TW,P12_多頭回檔,29,82.76,18.14,-17.6,13.81
2540.TW,P03_均線支撐放量,70,78.57,19.47,-6.94,13.8
3712.TW,P02_量增紅K,25,68.0,23.56,-11.7,13.78
6691.TW,P09_量縮後爆量紅K,13,92.31,15.5,-5.38,13.76
6477.TW,P08_黃金交叉量增,8,87.5,16.72,-13.33,13.76
3665.TW,P08_黃金交叉量增,6,83.33,17.9,-8.04,13.75
2486.TW,P02_量增紅K,37,78.38,19.47,-14.47,13.75
2404.TW,P04_長下影線放量,32,75.0,20.67,-7.78,13.75
3661.TW,P09_量縮後爆量紅K,2,50.0,34.5,-23.75,13.75
3135.TW,P04_長下影線放量,38,84.21,17.63,-12.97,13.74
3661.TW,P04_長下影線放量,28,82.14,18.22,-15.87,13.72
3231.TW,P08_黃金交叉量增,8,87.5,16.67,-5.76,13.71
8438.TW,P02_量增紅K,34,73.53,21.15,-8.5,13.7
2009.TW,P11_多頭排列紅K,31,74.19,20.87,-12.59,13.68
6472.TW,P03_均線支撐放量,16,81.25,18.44,-9.35,13.67
8110.TW,P04_長下影線放量,28,60.71,26.99,-11.83,13.63
2457.TW,P08_黃金交叉量增,4,75.0,20.49,-10.48,13.62
6757.TW,P09_量縮後爆量紅K,1,100.0,13.59,-1.68,13.59
3017.TW,P06_價量背離,34,79.41,18.93,-12.63,13.59
2359.TW,P04_長下影線放量,19,89.47,15.99,-12.61,13.57
2368.TW,P02_量增紅K,20,75.0,20.4,-13.12,13.55
1519.TW,P07_RSI超賣量縮,49,81.63,18.16,-8.64,13.54
2344.TW,P04_長下影線放量,30,70.0,22.33,-13.29,13.53
6931.TW,P08_黃金交叉量增,3,66.67,23.79,-2.16,13.53
3704.TW,P08_黃金交叉量增,11,81.82,18.07,-10.24,13.51
3046.TW,P07_RSI超賣量縮,69,66.67,23.69,-15.53,13.46
7780.TW,P04_長下影線放量,6,66.67,23.64,-20.88,13.42
6177.TW,P09_量縮後爆量紅K,6,66.67,23.53,-7.97,13.36
3028.TW,P09_量縮後爆量紅K,4,100.0,13.32,-2.79,13.32
6944.TW,P02_量增紅K,1,100.0,13.28,-15.9,13.28
2454.TW,P07_RSI超賣量縮,25,92.0,15.03,-10.39,13.26
3712.TW,P08_黃金交叉量增,9,55.56,29.47,-12.32,13.26
5706.TW,P07_RSI超賣量縮,53,81.13,17.94,-9.3,13.23
4569.TW,P03_均線支撐放量,20,70.0,21.86,-7.1,13.2
2540.TW,P08_黃金交叉量增,6,66.67,23.3,-8.92,13.2
4956.TW,P07_RSI超賣量縮,69,81.16,17.88,-9.86,13.19
6550.TW,P10_組合訊號,40,47.5,35.49,-20.07,13.18
3034.TW,P09_量縮後爆量紅K,4,75.0,19.81,-11.11,13.11
1608.TW,P07_RSI超賣量縮,68,75.0,19.81,-12.17,13.11
